"","gene","Freq"
"33673","BIRC3",7
"33674","BIRC5",7
"33682","BLCAP",7
"33685","BLMH",7
"33686","BLNK",7
"33693","BLVRA",7
"33694","BLVRB",7
"33699","BMP1",7
"33702","BMP2",7
"33703","BMP2K",7
"33705","BMP4",7
"33706","BMP5",7
"33707","BMP6",7
"33708","BMP7",7
"33709","BMP8A",7
"33712","BMPR1A",7
"33713","BMPR1B",7
"33714","BMPR2",7
"33715","BMS1",7
"33722","BMX",7
"33725","BNIP1",7
"33726","BNIP2",7
"33728","BNIP3L",7
"33742","BORA",7
"33749","BPGM",7
"33751","BPI",7
"33754","BPTF",7
"33759","BRAF",7
"33760","BRAP",7
"33762","BRCA1",7
"33765","BRD1",7
"33766","BRD2",7
"33767","BRD3",7
"33769","BRD4",7
"33772","BRD8",7
"33778","BRF1",7
"33783","BRINP1",7
"33789","BRMS1",7
"33792","BRPF1",7
"33802","BSG",7
"33803","BSN",7
"33806","BST1",7
"33807","BST2",7
"33808","BTAF1",7
"33814","BTBD2",7
"33815","BTBD3",7
"33822","BTD",7
"33834","BTG1",7
"33835","BTG2",7
"33836","BTG3",7
"33838","BTK",7
"33841","BTN2A1",7
"33842","BTN2A2",7
"33844","BTN3A1",7
"33845","BTN3A2",7
"33846","BTN3A3",7
"33851","BTRC",7
"33855","BUB3",7
"33869","BYSL",7
"33897","C11orf49",7
"33900","C11orf58",7
"33913","C12orf29",7
"33916","C12orf43",7
"33941","C15orf39",7
"33954","C16orf58",7
"33973","C17orf75",7
"33979","C18orf25",7
"33995","C19orf57",7
"34003","C1D",7
"34026","C1orf21",7
"34028","C1orf216",7
"34046","C1QB",7
"34047","C1QBP",7
"34049","C1QL1",7
"34058","C1R",7
"34061","C1S",7
"34084","C2CD2",7
"34085","C2CD2L",7
"34086","C2CD3",7
"34091","C2CD5",7
"34105","C2orf72",7
"34113","C3AR1",7
"34141","C5",7
"34144","C5orf15",7
"34145","C5orf22",7
"34158","C6",7
"34162","C6orf120",7
"34174","C6orf62",7
"34176","C7",7
"34189","C8G",7
"34207","C9orf16",7
"34223","CA1",7
"34225","CA11",7
"34226","CA12",7
"34229","CA2",7
"34232","CA4",7
"34235","CA5B",7
"34244","CABIN1",7
"34247","CABP1",7
"34254","CACNA1A",7
"34256","CACNA1C",7
"34261","CACNA1D",7
"34262","CACNA1E",7
"34265","CACNA1H",7
"34267","CACNA1S",7
"34268","CACNA2D1",7
"34269","CACNA2D2",7
"34273","CACNB1",7
"34274","CACNB2",7
"34275","CACNB3",7
"34276","CACNB4",7
"34282","CACTIN",7
"34285","CACYBP",7
"34286","CAD",7
"34287","CADM1",7
"34289","CADM3-AS1",7
"34290","CADM4",7
