"","gene","Freq"
"2561","AZIN1",7
"2565","B2M",7
"2566","B3GALNT1",7
"2575","B3GAT3",7
"2578","B3GNT3",7
"2584","B3GNTL1",7
"2589","B4GALT1",7
"2591","B4GALT2",7
"2592","B4GALT3",7
"2593","B4GALT4",7
"2595","B4GALT5",7
"2596","B4GALT6",7
"2598","B4GAT1",7
"2599","B9D1",7
"2608","BACH1",7
"2611","BAD",7
"2612","BAG1",7
"2613","BAG2",7
"2616","BAG5",7
"2620","BAHD1",7
"2621","BAIAP2",7
"2625","BAIAP3",7
"2629","BAMBI",7
"2635","BAP1",7
"2636","BARD1",7
"2638","BARX2",7
"2639","BASP1",7
"2641","BATF",7
"2644","BAX",7
"2645","BAZ1A",7
"2646","BAZ1B",7
"2647","BAZ2A",7
"2648","BAZ2B",7
"2649","BBC3",7
"2650","BBIP1",7
"2652","BBOX1",7
"2658","BBS4",7
"2661","BBS9",7
"2662","BBX",7
"2663","BCAM",7
"2668","BCAR3",7
"2669","BCAS1",7
"2670","BCAS2",7
"2673","BCAT1",7
"2674","BCAT2",7
"2678","BCHE",7
"2680","BCKDHB",7
"2681","BCKDK",7
"2682","BCL10",7
"2683","BCL11A",7
"2685","BCL2",7
"2687","BCL2L1",7
"2689","BCL2L11",7
"2694","BCL2L2",7
"2695","BCL3",7
"2696","BCL6",7
"2698","BCL7A",7
"2699","BCL7B",7
"2701","BCL9",7
"2703","BCLAF1",7
"2715","BCS1L",7
"2716","BDH1",7
"2719","BDKRB2",7
"2732","BEST1",7
"2734","BET1",7
"2739","BEX4",7
"2745","BGN",7
"2748","BHLHE40",7
"2751","BHMT",7
"2753","BICC1",7
"2754","BICD1",7
"2755","BICD2",7
"2756","BICDL1",7
"2760","BID",7
"2761","BIK",7
"2762","BIN1",7
"2766","BIRC2",7
"2767","BIRC3",7
"2768","BIRC5",7
"2776","BLCAP",7
"2779","BLMH",7
"2780","BLNK",7
"2787","BLVRA",7
"2788","BLVRB",7
"2793","BMP1",7
"2796","BMP2",7
"2797","BMP2K",7
"2799","BMP4",7
"2800","BMP5",7
"2801","BMP6",7
"2802","BMP7",7
"2803","BMP8A",7
"2806","BMPR1A",7
"2807","BMPR1B",7
"2808","BMPR2",7
"2809","BMS1",7
"2816","BMX",7
"2819","BNIP1",7
"2820","BNIP2",7
"2822","BNIP3L",7
"2836","BORA",7
"2843","BPGM",7
"2845","BPI",7
"2848","BPTF",7
"2853","BRAF",7
"2854","BRAP",7
"2856","BRCA1",7
"2859","BRD1",7
"2860","BRD2",7
"2861","BRD3",7
"2863","BRD4",7
"2866","BRD8",7
"2872","BRF1",7
"2877","BRINP1",7
"2883","BRMS1",7
"2886","BRPF1",7
"2896","BSG",7
"2897","BSN",7
"2900","BST1",7
"2901","BST2",7
"2902","BTAF1",7
"2908","BTBD2",7
"2909","BTBD3",7
"2916","BTD",7
"2928","BTG1",7
"2929","BTG2",7
"2930","BTG3",7
"2932","BTK",7
"2935","BTN2A1",7
"2936","BTN2A2",7
"2938","BTN3A1",7
"2939","BTN3A2",7
"2940","BTN3A3",7
"2945","BTRC",7
"2949","BUB3",7
"2963","BYSL",7
"2991","C11orf49",7
"2994","C11orf58",7
"3007","C12orf29",7
"3010","C12orf43",7
"3035","C15orf39",7
"3048","C16orf58",7
"3067","C17orf75",7
"3073","C18orf25",7
"3089","C19orf57",7
"3097","C1D",7
"3120","C1orf21",7
"3122","C1orf216",7
"3140","C1QB",7
"3141","C1QBP",7
"3143","C1QL1",7
"3152","C1R",7
"3155","C1S",7
"3178","C2CD2",7
"3179","C2CD2L",7
"3180","C2CD3",7
"3185","C2CD5",7
"3199","C2orf72",7
"3207","C3AR1",7
"3235","C5",7
"3238","C5orf15",7
"3239","C5orf22",7
"3252","C6",7
"3256","C6orf120",7
"3268","C6orf62",7
"3270","C7",7
"3283","C8G",7
"3301","C9orf16",7
"3317","CA1",7
"3319","CA11",7
"3320","CA12",7
"3323","CA2",7
"3326","CA4",7
"3329","CA5B",7
"3338","CABIN1",7
"3341","CABP1",7
"3348","CACNA1A",7
"3350","CACNA1C",7
"3355","CACNA1D",7
"3356","CACNA1E",7
"3359","CACNA1H",7
"3361","CACNA1S",7
"3362","CACNA2D1",7
"3363","CACNA2D2",7
"3367","CACNB1",7
"3368","CACNB2",7
"3369","CACNB3",7
"3370","CACNB4",7
"3376","CACTIN",7
"3379","CACYBP",7
"3380","CAD",7
"3381","CADM1",7
"3383","CADM3-AS1",7
"3384","CADM4",7
"3388","CALB1",7
"3390","CALCA",7
"3392","CALCOCO1",7
"3393","CALCOCO2",7
"3394","CALCR",7
"3395","CALCRL",7
"3396","CALD1",7
"3398","CALM1",7
"3399","CALM2",7
"3400","CALM3",7
"3401","CALML3",7
"3405","CALR",7
"3406","CALU",7
"3410","CAMK1G",7
"3411","CAMK2A",7
"3412","CAMK2B",7
"3414","CAMK2G",7
"3418","CAMKK2",7
"3421","CAMLG",7
"3423","CAMSAP1",7
"3424","CAMSAP2",7
"3426","CAMTA1",7
"3428","CAND1",7
"3431","CANX",7
"3433","CAP2",7
"3435","CAPG",7
"3436","CAPN1",7
"3442","CAPN15",7
"3443","CAPN2",7
"3444","CAPN3",7
"3445","CAPN5",7
"3447","CAPN7",7
"3450","CAPNS1",7
"3451","CAPRIN1",7
"3456","CAPZA2",7
"3457","CAPZB",7
"3458","CARD10",7
"3465","CARD8",7
"3470","CARM1",7
"3487","CASC3",7
"3490","CASK",7
"3494","CASP1",7
"3495","CASP10",7
"3497","CASP2",7
"3498","CASP3",7
"3499","CASP4",7
"3501","CASP6",7
"3502","CASP7",7
"3503","CASP8",7
"3505","CASP9",7
"3507","CASQ2",7
"3508","CASR",7
"3510","CAST",7
"3512","CAT",7
"3521","CAV1",7
"3522","CAV2",7
"3527","CBFA2T2",7
"3529","CBFB",7
"3530","CBL",7
"3531","CBLB",7
"3539","CBR1",7
"3542","CBR4",7
"3549","CBX2",7
"3550","CBX3",7
"3554","CBX4",7
"3555","CBX5",7
"3556","CBX6",7
"3557","CBX7",7
"3559","CBY1",7
"3572","CCDC106",7
"3588","CCDC130",7
"3623","CCDC181",7
"3629","CCDC22",7
"3632","CCDC28A",7
"3649","CCDC6",7
"3671","CCDC85B",7
"3679","CCDC9",7
"3682","CCDC92",7
"3683","CCDC93",7
"3688","CCHCR1",7
"3694","CCL11",7
"3695","CCL13",7
"3700","CCL17",7
"3702","CCL19",7
"3703","CCL2",7
"3704","CCL20",7
"3705","CCL21",7
"3706","CCL22",7
"3716","CCL5",7
"3718","CCL8",7
"3728","CCNA2",7
"3729","CCNB1",7
"3734","CCND1",7
"3735","CCND2",7
"3736","CCND3",7
"3740","CCNF",7
"3741","CCNG1",7
"3743","CCNG2",7
"3744","CCNH",7
"3745","CCNI",7
"3752","CCNO",7
"3753","CCNT1",7
"3754","CCNT2",7
"3758","CCP110",7
"3759","CCPG1",7
"3760","CCR1",7
"3762","CCR2",7
"3764","CCR4",7
"3765","CCR5",7
"3767","CCR7",7
"3770","CCRL2",7
"3771","CCS",7
"3774","CCSER2",7
"3775","CCT2",7
"3779","CCT6A",7
"3780","CCT6B",7
"3783","CCT7",7
"3791","CD14",7
"3792","CD151",7
"3794","CD163",7
"3796","CD164",7
"3798","CD180",7
"3799","CD19",7
"3802","CD1C",7
"3805","CD2",7
"3806","CD200",7
"3809","CD209",7
"3810","CD22",7
"3814","CD247",7
"3821","CD2AP",7
