"","gene","Freq"
"890","ADAM20",3
"891","ADAM21",3
"893","ADAM22",3
"894","ADAM23",3
"895","ADAM28",3
"899","ADAM7",3
"900","ADAM8",3
"901","ADAM9",3
"902","ADAMDEC1",3
"903","ADAMTS2",3
"904","ADAMTS3",3
"905","ADAMTSL2",3
"906","ADAMTSL3",3
"907","ADAR",3
"908","ADARB1",3
"909","ADCY1",3
"910","ADCY10",3
"911","ADCY2",3
"912","ADCY3",3
"915","ADCY8",3
"916","ADCY9",3
"917","ADCYAP1",3
"918","ADCYAP1R1",3
"919","ADD1",3
"920","ADD2",3
"921","ADD3",3
"922","ADD3-AS1",3
"923","ADGRA3",3
"924","ADGRB1",3
"925","ADGRB2",3
"926","ADGRB3",3
"927","ADGRE1",3
"928","ADGRE2",3
"929","ADGRE5",3
"931","ADGRG1",3
"932","ADGRG2",3
"933","ADGRG6",3
"934","ADGRL1",3
"935","ADGRL2",3
"936","ADGRL3",3
"937","ADH1A",3
"938","ADH1B",3
"939","ADH1C",3
"940","ADH5",3
"941","ADH6",3
"942","ADH7",3
"943","ADIPOQ",3
"944","ADIPOR2",3
"947","ADK",3
"948","ADM",3
"949","ADNP",3
"950","ADNP2",3
"951","ADO",3
"952","ADORA1",3
"955","ADORA2B",3
"956","ADORA3",3
"957","ADPRH",3
"958","ADRA1A",3
"959","ADRA1B",3
"960","ADRA1D",3
"961","ADRA2A",3
"962","ADRA2C",3
"963","ADRB1",3
"964","ADRB2",3
"965","ADRB3",3
"970","AEBP1",3
"977","AFDN",3
"979","AFF1",3
"980","AFF2",3
"981","AFF3",3
"983","AFM",3
"984","AFP",3
"985","AGA",3
"986","AGAP1",3
"987","AGAP2",3
"988","AGER",3
"989","AGFG1",3
"990","AGFG2",3
"991","AGGF1",3
"994","AGL",3
"997","AGPAT2",3
"998","AGPS",3
"999","AGR2",3
"1000","AGRN",3
"1001","AGRP",3
"1002","AGT",3
"1003","AGTR1",3
"1004","AGTR2",3
"1005","AGXT",3
"1008","AHCY",3
"1009","AHCYL1",3
"1010","AHCYL2",3
"1011","AHDC1",3
"1012","AHNAK",3
"1014","AHR",3
"1015","AHSA1",3
"1017","AHSG",3
"1018","AIF1",3
"1019","AIFM1",3
"1020","AIM2",3
"1021","AIMP1",3
"1023","AIP",3
"1024","AIPL1",3
"1025","AIRE",3
"1026","AJAP1",3
"1027","AK1",3
"1028","AK2",3
"1030","AKAP1",3
"1031","AKAP10",3
"1032","AKAP11",3
"1033","AKAP12",3
"1034","AKAP13",3
"1035","AKAP17A",3
"1036","AKAP3",3
"1037","AKAP4",3
"1038","AKAP5",3
"1039","AKAP6",3
"1040","AKAP7",3
"1041","AKAP8",3
"1042","AKAP8L",3
"1043","AKAP9",3
"1045","AKR1A1",3
"1050","AKR1C1",3
"1052","AKR1C3",3
"1054","AKR1D1",3
"1055","AKR7A2",3
"1058","AKT2",3
"1059","AKT3",3
"1060","AKTIP",3
"1329","ALAD",3
"1330","ALAS1",3
"1331","ALAS2",3
"1332","ALB",3
"1333","ALCAM",3
"1334","ALDH1A1",3
"1335","ALDH1A2",3
"1336","ALDH1A3",3
"1337","ALDH1B1",3
"1338","ALDH1L1",3
"1339","ALDH2",3
"1341","ALDH3A2",3
"1342","ALDH3B1",3
"1343","ALDH3B2",3
"1344","ALDH4A1",3
"1345","ALDH5A1",3
"1346","ALDH6A1",3
"1347","ALDH7A1",3
"1348","ALDH9A1",3
"1350","ALDOB",3
"1353","ALG13",3
"1354","ALG3",3
"1355","ALG8",3
"1356","ALK",3
"1357","ALKBH1",3
"1358","ALMS1",3
"1362","ALOX12B",3
"1364","ALOX15",3
"1365","ALOX15B",3
"1366","ALOX5",3
"1367","ALOX5AP",3
"1369","ALPI",3
"1370","ALPK3",3
"1371","ALPL",3
"1372","ALX1",3
"1375","AMBP",3
"1376","AMD1",3
"1379","AMFR",3
"1380","AMH",3
"1381","AMHR2",3
"1382","AMIGO2",3
"1383","AMMECR1",3
"1384","AMOT",3
