"","gene","Freq"
"656","ARHGAP35",3
"657","ARHGAP4",3
"658","ARHGAP44",3
"661","ARHGAP6",3
"662","ARHGDIA",3
"663","ARHGDIB",3
"665","ARHGEF1",3
"666","ARHGEF10",3
"667","ARHGEF10L",3
"668","ARHGEF11",3
"669","ARHGEF12",3
"670","ARHGEF15",3
"671","ARHGEF16",3
"672","ARHGEF17",3
"673","ARHGEF18",3
"674","ARHGEF2",3
"676","ARHGEF28",3
"677","ARHGEF3",3
"678","ARHGEF38",3
"679","ARHGEF4",3
"680","ARHGEF40",3
"681","ARHGEF5",3
"682","ARHGEF6",3
"683","ARHGEF7",3
"684","ARHGEF9",3
"685","ARID1A",3
"686","ARID3A",3
"687","ARID4A",3
"688","ARID4B",3
"689","ARID5A",3
"690","ARID5B",3
"691","ARIH1",3
"692","ARIH2",3
"693","ARL1",3
"695","ARL15",3
"698","ARL3",3
"699","ARL4C",3
"700","ARL4D",3
"702","ARL6IP1",3
"704","ARL6IP5",3
"705","ARL8B",3
"706","ARMC1",3
"707","ARMC6",3
"708","ARMC7",3
"709","ARMC8",3
"710","ARMC9",3
"711","ARMCX1",3
"712","ARMCX2",3
"713","ARMCX3",3
"715","ARMCX5",3
"716","ARMT1",3
"717","ARNT",3
"718","ARNT2",3
"719","ARNTL",3
"720","ARNTL2",3
"723","ARPC2",3
"724","ARPC4",3
"725","ARPC5",3
"726","ARPC5L",3
"728","ARPP19",3
"730","ARR3",3
"731","ARRB1",3
"732","ARRB2",3
"733","ARSA",3
"734","ARSB",3
"735","ARSD",3
"738","ARSJ",3
"739","ART1",3
"741","ART4",3
"742","ARTN",3
"743","ARVCF",3
"744","ASAH1",3
"745","ASAP1",3
"748","ASAP3",3
"749","ASB1",3
"750","ASB13",3
"752","ASB6",3
"753","ASB7",3
"754","ASB8",3
"755","ASB9",3
"756","ASCC1",3
"757","ASCC2",3
"758","ASCC3",3
"761","ASCL3",3
"762","ASF1A",3
"763","ASF1B",3
"764","ASGR1",3
"765","ASGR2",3
"766","ASH1L",3
"767","ASH2L",3
"768","ASIC1",3
"769","ASIC2",3
"770","ASIC3",3
"771","ASIC4",3
"772","ASIP",3
"775","ASMTL",3
"780","ASPA",3
"781","ASPH",3
"784","ASPN",3
"785","ASPSCR1",3
"786","ASRGL1",3
"790","ASTN2",3
"792","ASXL1",3
"793","ASXL2",3
"794","ASXL3",3
"796","ATAD2B",3
"798","ATAD5",3
"799","ATAT1",3
"800","ATF1",3
"801","ATF2",3
"802","ATF3",3
"803","ATF5",3
"804","ATF6",3
"805","ATF6B",3
"807","ATF7IP",3
"808","ATF7IP2",3
"810","ATG12",3
"811","ATG13",3
"812","ATG14",3
"813","ATG2A",3
"814","ATG2B",3
"815","ATG3",3
"816","ATG4A",3
"817","ATG4B",3
"818","ATG5",3
"819","ATG7",3
"821","ATIC",3
"822","ATM",3
"823","ATMIN",3
"824","ATN1",3
"825","ATOH1",3
"826","ATOX1",3
"827","ATP10A",3
"828","ATP10B",3
"829","ATP10D",3
"830","ATP11A",3
"832","ATP12A",3
"833","ATP13A1",3
"834","ATP13A2",3
"835","ATP13A3",3
"836","ATP1A1",3
"839","ATP1B1",3
"840","ATP1B2",3
"841","ATP1B3",3
"843","ATP2A1",3
"844","ATP2A2",3
"845","ATP2A3",3
"846","ATP2B1",3
"847","ATP2B2",3
"848","ATP2B3",3
"849","ATP2B4",3
"850","ATP2C1",3
"851","ATP2C2",3
"852","ATP4A",3
"853","ATP4B",3
"869","ATP6AP1",3
"870","ATP6AP2",3
"871","ATP6V0A1",3
"872","ATP6V0A2",3
"873","ATP6V0A4",3
"874","ATP6V0B",3
"876","ATP6V0D1",3
"877","ATP6V0E1",3
"879","ATP6V1A",3
"881","ATP6V1B2",3
"882","ATP6V1C1",3
"883","ATP6V1D",3
"884","ATP6V1E1",3
"886","ATP6V1G1",3
"888","ATP6V1H",3
"889","ATP7A",3
"890","ATP7B",3
"891","ATP8A1",3
"892","ATP8A2",3
"893","ATP8B2",3
"895","ATP8B4",3
"896","ATP9A",3
"897","ATP9B",3
"898","ATPAF2",3
"900","ATR",3
"901","ATRAID",3
"902","ATRN",3
"904","ATRX",3
"905","ATXN1",3
"906","ATXN10",3
"907","ATXN2",3
"908","ATXN2L",3
"909","ATXN3",3
"911","ATXN7",3
"912","ATXN7L1",3
"913","ATXN7L3B",3
"915","AUH",3
"916","AUNIP",3
